index,Unnamed: 0,date,item_name,unit_price_x,quantity,forecast_quantity
340599,340599,2021-01-22 20:24:00,nature valley sweet/salty peanut bars,14.0,10,7.666666666666667
186538,186538,2021-01-22 11:35:00,nature valley sweet/salty almond bars,14.0,10,7.666666666666667
507691,507691,2021-01-22 18:52:00,waterloo sparkling lemon 12oz,8.0,11,7.666666666666667
519956,519956,2021-01-23 01:31:00,dark chocolate mint patties,16.0,11,7.666666666666667
713995,713995,2021-01-22 19:57:00,"blue diamond almonds rstd, sltd",6.0,11,7.666666666666667
558158,558158,2021-01-23 04:38:00,wonderful pistachios in shell,22.0,9,7.666666666666667
160196,160196,2021-01-22 17:02:00,"poptarts, frosted strawberry",12.0,7,7.666666666666667
356204,356204,2021-01-22 16:36:00,belvita protein oats soft biscuit,14.0,8,7.666666666666667
434927,434927,2021-01-22 16:36:00,perrier sparkling water glass 11oz,26.0,11,7.666666666666667
381023,381023,2021-01-23 01:31:00,nabisco cookie variety pk oreo/chocchip,16.0,10,7.333333333333333
249842,249842,2021-01-23 01:31:00,plastic knives white  heavyweight,15.0,5,7.333333333333333
509516,509516,2021-01-21 16:44:00,m&m peanut candy 17 oz,35.0,9,7.333333333333333
945460,945460,2021-01-23 02:18:00,vita coconut water 10oz,19.0,4,7.333333333333333
243422,243422,2021-01-20 21:07:00,chex mix original,15.0,9,7.333333333333333
662040,662040,2021-01-21 11:40:00,gatorade frost variety 12 oz,17.5,11,7.333333333333333
408768,408768,2021-01-22 23:09:00,goldfish pepperidge farm cheddar 15oz,15.0,11,7.333333333333333
986895,986895,2021-01-22 01:35:00,v8 splash variety 20 oz,15.0,9,7.333333333333333
137906,137906,2021-01-22 18:47:00,hefty supreme foam plates 9 inch,16.0,8,7.333333333333333
809762,809762,2021-01-22 12:38:00,k cups hot cocoa,16.0,3,7.333333333333333
80138,80138,2021-01-22 16:51:00,ozarka spring water 169 oz bottles,10.0,9,7.0
803286,803286,2021-01-23 04:01:00,crunchy granola bars oats & honey,18.0,9,7.0
119048,119048,2021-01-23 04:38:00,frito fiesta flavors variety,17.0,3,7.0
845088,845088,2021-01-22 16:36:00,brisk lemon iced tea  12 oz cans,15.5,11,7.0
477679,477679,2021-01-20 19:48:00,truvia natural sweetener,18.0,1,7.0
175702,175702,2021-01-23 03:11:00,k cups original donut shop med roast,53.0,8,7.0
302461,302461,2021-01-22 08:13:00,la croix sparkling coconut 12 oz,16.0,8,7.0
799036,799036,2021-01-22 03:14:00,red plastic cups 18oz,16.0,11,7.0
620720,620720,2021-01-22 23:10:00,ginger ale  12 oz cans,6.75,5,7.0
247716,247716,2021-01-23 02:18:00,pringles snak stacks variety,14.0,8,7.0
402771,402771,2021-01-22 23:10:00,fresca original  12 oz cans,6.75,9,7.0
107276,107276,2021-01-22 07:30:00,a&w root beer diet  12 oz cans,6.75,7,7.0
36975,36975,2021-01-23 04:38:00,"sargento bal breaks fruit, nut, cheese",15.0,8,7.0
511812,511812,2021-01-23 04:01:00,njoy creamer canister 16 oz,14.0,3,7.0
390094,390094,2021-01-23 02:47:00,foam coffee cups  12 ounce,32.0,9,7.0
794863,794863,2021-01-22 12:38:00,gardettos snacks,16.0,6,7.0
376830,376830,2021-01-22 11:35:00,bounty paper towels select a size,26.0,6,7.0
641023,641023,2021-01-22 14:40:00,flamin hot chip mix 1oz,17.0,10,7.0
192636,192636,2021-01-22 10:32:00,foam coffee cups  08 ounce,24.0,10,7.0
687926,687926,2021-01-22 17:02:00,mars mini mix,19.0,8,7.0
621559,621559,2021-01-22 16:51:00,hershey factory favorites mix,19.0,5,7.0
485447,485447,2021-01-22 16:36:00,waterloo sparkling watermelon 12oz,8.0,9,7.0
528007,528007,2021-01-22 18:52:00,famous amos cookies,17.0,2,7.0
356175,356175,2021-01-20 23:44:00,monster original green 16 oz,40.0,11,6.666666666666667
269521,269521,2021-01-22 02:27:00,spunkmeyer muffin variety,13.0,8,6.666666666666667
778913,778913,2021-01-22 23:10:00,plastic forks white heavyweight,15.0,4,6.666666666666667
627596,627596,2021-01-22 05:08:00,red bull 12oz,55.0,11,6.666666666666667
678258,678258,2021-01-23 02:18:00,peanutbutter filled pretzels,11.0,10,6.666666666666667
334148,334148,2021-01-23 01:44:00,sprite  12 oz cans,6.75,11,6.666666666666667
184095,184095,2021-01-23 02:18:00,"kellogg fun mix cheez it, prngls, fam amos",14.0,3,6.666666666666667
487926,487926,2021-01-22 18:47:00,coffeemate original flavor cold,6.0,4,6.666666666666667
933796,933796,2021-01-22 12:38:00,a&w root beer  12 oz cans,11.5,10,6.666666666666667
272999,272999,2021-01-20 22:14:00,yoplait original yogurt variety pack,12.0,6,6.666666666666667
265671,265671,2021-01-22 16:51:00,frito classic mix variety,17.0,11,6.666666666666667
593554,593554,2021-01-22 10:31:00,sunkist orange  12 oz cans,11.5,6,6.666666666666667
403798,403798,2021-01-22 18:47:00,tootsie roll midgets,12.0,10,6.666666666666667
121805,121805,2021-01-22 22:53:00,nature valley chewy trail mix bars,16.0,8,6.333333333333333
180298,180298,2021-01-21 19:05:00,"poptarts, brown sugar cinnamon",12.0,11,6.333333333333333
805969,805969,2021-01-22 16:51:00,altoids small packs variety,12.0,5,6.333333333333333
95974,95974,2021-01-22 16:36:00,diet fuze iced tea,6.75,5,6.333333333333333
987488,987488,2021-01-22 09:59:00,m&m peanut butter 16 oz,19.0,2,6.333333333333333
282819,282819,2021-01-22 16:09:00,k cups daily chef columbian supremo,53.0,4,6.333333333333333
266594,266594,2021-01-21 18:28:00,ozarka spring water mini 8oz,11.0,8,6.333333333333333
224842,224842,2021-01-21 17:20:00,cheetos flamin hot 1 oz,17.0,2,6.333333333333333
611654,611654,2021-01-23 02:47:00,seven up  12 oz cans,11.5,9,6.333333333333333
287654,287654,2021-01-21 07:27:00,foam coffee cups  16 ounce,24.0,6,6.333333333333333
650731,650731,2021-01-21 01:22:00,paper plate 10 inch ultra strong,20.0,8,6.0
832151,832151,2021-01-21 17:06:00,snickers bars 18oz,35.0,7,6.0
343345,343345,2021-01-21 16:44:00,kleenex tissue square boxes 75/box,20.0,6,6.0
170750,170750,2021-01-21 13:55:00,cheez it white cheddar 15 oz,15.0,5,6.0
620667,620667,2021-01-21 13:12:00,coffeemate french vanilla cold,10.0,7,6.0
270876,270876,2021-01-21 09:14:00,snapple variety pack 20oz,22.0,9,6.0
576227,576227,2021-01-21 19:05:00,k cups folgers lively columbian,46.0,6,6.0
482545,482545,2021-01-22 19:35:00,detour lower sugar protein bar,23.0,7,6.0
201280,201280,2021-01-22 19:35:00,pure white sugar packets,15.0,3,6.0
479372,479372,2021-01-22 14:15:00,cascade gel packs dishwasher,20.0,7,6.0
81464,81464,2021-01-22 23:10:00,"nabisco classic mix ccooki, cracker",15.0,7,6.0
23356,23356,2021-01-23 01:12:00,hershey chocoalte minatures assort,19.0,7,6.0
914354,914354,2021-01-22 23:10:00,la croix sparkling cranraspberry 12 oz,16.0,3,6.0
494359,494359,2021-01-22 23:10:00,k cups dunkin donuts medium roast,48.0,11,6.0
287914,287914,2021-01-22 10:41:00,diet mountain dew 12oz cans,6.75,2,6.0
61501,61501,2021-01-23 04:01:00,plastic spoons white  heavyweight,15.0,6,6.0
756927,756927,2021-01-23 02:47:00,clorox disinfecting wipes,19.5,3,6.0
723373,723373,2021-01-22 17:22:00,pop chips variety bags,17.0,3,6.0
285682,285682,2021-01-23 03:11:00,g2 lo calorie variety 20 oz,20.0,8,6.0
969985,969985,2021-01-23 02:47:00,napkins square lunch,15.0,5,6.0
555094,555094,2021-01-22 10:32:00,diet gingerale 12 oz cans,6.75,7,5.666666666666667
754422,754422,2021-01-23 02:18:00,hefty supreme foam bowls 12oz,14.0,4,5.666666666666667
958246,958246,2021-01-23 01:44:00,nature valley soft oatmeal squares,15.0,1,5.666666666666667
154281,154281,2021-01-22 02:27:00,dixie perfecttouch paper cups 12oz,19.5,5,5.666666666666667
742831,742831,2021-01-22 03:14:00,coke zero sugar 12 oz cans,16.25,8,5.666666666666667
835085,835085,2021-01-22 03:09:00,belvita hard biscuits blueberry,13.0,2,5.666666666666667
194374,194374,2021-01-22 05:08:00,forceflex trash bags 13 gal,21.0,10,5.666666666666667
229016,229016,2021-01-23 01:44:00,coke classic 12 oz cans,16.25,2,5.666666666666667
820785,820785,2021-01-23 01:44:00,sun chips variety pack,17.0,5,5.666666666666667
373312,373312,2021-01-22 03:14:00,chobani greek yogurt variety pack,16.0,5,5.666666666666667
921166,921166,2021-01-22 01:42:00,gatorade liberty variety 20 oz,20.0,3,5.666666666666667
252379,252379,2021-01-22 19:57:00,welchs 100% juice variety10 oz,17.0,6,5.666666666666667
916013,916013,2021-01-22 19:35:00,cheez it original crackers 15oz,15.0,2,5.666666666666667
293260,293260,2021-01-22 19:35:00,topo chico 12 oz glass,28.0,2,5.666666666666667
844792,844792,2021-01-22 18:52:00,diet dr pepper  12 oz cans,16.25,4,5.666666666666667
997155,997155,2021-01-22 17:22:00,paper bowls 20 oz ultra strong,14.0,10,5.666666666666667
12005,12005,2021-01-22 09:59:00,ocean spray cranberry juice cocktail 15oz,14.0,3,5.666666666666667
99011,99011,2021-01-23 04:38:00,cascade gel w/ dawn dishwasher,15.0,5,5.666666666666667
61196,61196,2021-01-22 10:31:00,"goldfish variety bags, cheddar, pretzels",16.0,4,5.666666666666667
628414,628414,2021-01-22 16:51:00,mars chocolate favorites,19.0,5,5.666666666666667
820309,820309,2021-01-22 16:51:00,la croix sparkling lemon 12 oz,16.0,7,5.666666666666667
205098,205098,2021-01-22 16:09:00,k cups organic breakfast blend,42.0,4,5.333333333333333
188107,188107,2021-01-22 19:35:00,waterloo sparkling lime 12oz,8.0,4,5.333333333333333
574791,574791,2021-01-22 18:52:00,hefty supreme foam plates 6 inch,12.5,5,5.333333333333333
958471,958471,2021-01-22 16:51:00,paper plates 85 inch ultra strong,21.0,4,5.333333333333333
863852,863852,2021-01-23 02:47:00,sobe zero lifewater variety 20 oz,20.0,3,5.333333333333333
695932,695932,2021-01-22 14:40:00,clorox bleach large jugs,16.0,9,5.333333333333333
206809,206809,2021-01-23 01:12:00,wint o green lifesavers sugar free,16.0,1,5.333333333333333
406996,406996,2021-01-23 02:18:00,"dawn ultra dish detergent, original scent",13.0,10,5.333333333333333
702413,702413,2021-01-23 01:31:00,charmin ultra bath tissue,26.0,4,5.333333333333333
414507,414507,2021-01-21 15:09:00,french vanilla international delight,15.0,3,5.333333333333333
668103,668103,2021-01-21 02:39:00,hershey nuggets,19.0,3,5.333333333333333
918503,918503,2021-01-22 10:31:00,planters nut variety packs,14.0,7,5.333333333333333
479501,479501,2021-01-21 19:12:00,diet coke  12 oz cans,16.25,5,5.333333333333333
811415,811415,2021-01-22 05:08:00,community coffee dark roast,17.0,6,5.333333333333333
653802,653802,2021-01-21 23:15:00,tylenol extra strength 2 pill packets,15.0,4,5.333333333333333
922282,922282,2021-01-22 01:35:00,gatorade xfactor fierce variety 20 oz,20.0,3,5.333333333333333
170565,170565,2021-01-22 12:22:00,monster zero ultra variety 16 oz,40.0,4,5.333333333333333
99705,99705,2021-01-22 05:08:00,breath savers peppermints 12/roll,16.0,5,5.0
103996,103996,2021-01-22 14:40:00,hershey kisses,18.0,9,5.0
166470,166470,2021-01-22 12:22:00,cliff energy bars variety pack,24.0,4,5.0
483975,483975,2021-01-22 23:09:00,fuze iced tea,6.75,4,5.0
783018,783018,2021-01-22 10:31:00,gatorade original variety 12 oz,17.5,2,5.0
174259,174259,2021-01-22 09:59:00,paper plates 7 inch  ultra strong,17.0,10,5.0
296067,296067,2021-01-22 19:35:00,starbucks pike place,22.5,2,5.0
820006,820006,2021-01-21 10:09:00,belvita hard biscuits cinnamon,13.0,10,5.0
698042,698042,2021-01-22 03:14:00,njoy sugar canister 22 oz,15.0,5,5.0
976164,976164,2021-01-23 01:12:00,gatorade zero variety 20 oz,20.0,7,5.0
233842,233842,2021-01-21 21:13:00,clear plastic 12 oz cups,14.0,7,5.0
983601,983601,2021-01-22 18:47:00,folgers classic roast coffee,17.0,11,5.0
448743,448743,2021-01-22 23:09:00,kind  bars variety pack 14 oz,23.0,2,5.0
930044,930044,2021-01-22 09:59:00,natvalley peanutbutter protein bars,18.0,6,5.0
703553,703553,2021-01-23 04:38:00,la croix sparkling pure 12 oz,16.0,6,5.0
422898,422898,2021-01-22 17:02:00,dasani bottled water 169 oz,9.0,3,5.0
163809,163809,2021-01-22 09:59:00,cherry coke zero 12 pack,6.75,3,5.0
292053,292053,2021-01-22 23:10:00,miss vickies chips,16.0,2,5.0
689270,689270,2021-01-22 17:22:00,dial antibacterial  foam 75oz,11.0,3,4.666666666666667
952175,952175,2021-01-22 16:51:00,fiber one 90 calorie fudge brownies,16.0,2,4.666666666666667
248551,248551,2021-01-20 21:07:00,san pelligrino 16oz plastic,23.0,4,4.666666666666667
56903,56903,2021-01-21 08:20:00,red bull 16oz,37.0,1,4.666666666666667
457913,457913,2021-01-21 18:29:00,quaker instant oatmeal maple brn sugar,13.0,1,4.666666666666667
645601,645601,2021-01-22 09:59:00,waterloo sparkling grapefruit 12oz,8.0,6,4.666666666666667
906016,906016,2021-01-23 01:12:00,cheese and peanut butter crackers,12.0,11,4.666666666666667
664401,664401,2021-01-22 23:10:00,waterloo sparkling mango 12oz,8.0,2,4.666666666666667
925941,925941,2021-01-22 00:22:00,snyders pretzels minis,18.0,2,4.666666666666667
510519,510519,2021-01-21 15:09:00,keebler cookie & cracker variety,15.0,1,4.666666666666667
428725,428725,2021-01-22 23:09:00,kleenex tissue rectangle boxes 160/box,20.0,11,4.666666666666667
257697,257697,2021-01-22 18:52:00,deluxe mixed nuts with seasalt,19.5,4,4.666666666666667
654916,654916,2021-01-22 18:52:00,coffeemate original powdered creamer,10.0,3,4.666666666666667
17411,17411,2021-01-22 18:52:00,k cups  mccafe premium roast,42.0,10,4.666666666666667
740302,740302,2021-01-22 18:52:00,cliff builders protein bar variety pack,24.0,10,4.666666666666667
897098,897098,2021-01-22 18:47:00,frito bold flavors variety pack,17.0,6,4.666666666666667
57876,57876,2021-01-22 16:09:00,tropicana orange juice 10 oz 100%,18.0,10,4.666666666666667
279056,279056,2021-01-22 02:27:00,muscle milk protein shake choc 11oz,24.0,1,4.666666666666667
81390,81390,2021-01-22 18:47:00,la croix sparkling lime 12 oz,16.0,5,4.333333333333333
682739,682739,2021-01-23 03:11:00,m&m variety full size bags,26.0,3,4.333333333333333
691404,691404,2021-01-22 03:28:00,100% juice box variety 675 oz,15.0,11,4.333333333333333
245376,245376,2021-01-23 04:01:00,gatorade frost variety 20 oz,20.0,4,4.333333333333333
747392,747392,2021-01-22 16:25:00,veggie chips 1oz,15.0,2,4.333333333333333
649218,649218,2021-01-22 16:09:00,hand sanitizer refill pump,13.0,3,4.333333333333333
914594,914594,2021-01-21 00:04:00,swiss miss hot cocoa mix 1 oz,14.0,1,4.333333333333333
851629,851629,2021-01-23 01:31:00,sugar in the raw packets,12.5,2,4.333333333333333
960835,960835,2021-01-22 12:22:00,waterloo sparkling original 12oz,8.0,1,4.333333333333333
666124,666124,2021-01-22 18:47:00,frito big grab variety 1520 oz,17.0,8,4.333333333333333
760130,760130,2021-01-22 10:32:00,dr pepper  12 oz cans,16.25,6,4.333333333333333
104986,104986,2021-01-23 01:44:00,reeses pieces peanutbutter candy,15.0,8,4.0
453406,453406,2021-01-22 19:57:00,lunchables variety pack oscar meyer,12.0,2,4.0
434842,434842,2021-01-23 02:18:00,topo chico 20oz plastic,24.0,7,4.0
691659,691659,2021-01-23 01:44:00,jolly ranchers variety hard candy,15.0,3,4.0
60795,60795,2021-01-23 02:18:00,muscle milk protein shake strbry 11oz,22.0,5,4.0
476757,476757,2021-01-23 02:18:00,dunkin donuts original blend,20.0,2,4.0
380086,380086,2021-01-23 04:38:00,half & half land o lakes mini moos,16.0,1,4.0
391451,391451,2021-01-23 03:11:00,foam coffee cups  20 ounce,29.0,1,4.0
428502,428502,2021-01-22 17:22:00,perrier flavors sparkling water 169oz,23.0,2,4.0
210073,210073,2021-01-22 20:24:00,la croix sparkling grapefruit 12 oz,16.0,4,4.0
918653,918653,2021-01-22 19:57:00,lance variety cracker packs,13.5,6,4.0
862872,862872,2021-01-22 19:35:00,double bubble variety tub,12.0,3,4.0
488301,488301,2021-01-22 10:32:00,doritos nacho cheese 1 oz,17.0,3,4.0
190884,190884,2021-01-22 23:10:00,austin cookie cracker variety,14.0,10,4.0
574338,574338,2021-01-22 19:35:00,all purpose cleaner 409 spray,18.0,5,3.6666666666666665
99697,99697,2021-01-22 23:09:00,stirrers coffee stirs 7inch,17.0,2,3.6666666666666665
793518,793518,2021-01-22 19:35:00,frito bold flavors variety,17.0,3,3.6666666666666665
601798,601798,2021-01-21 06:58:00,strong everyday napkins,14.0,8,3.6666666666666665
911473,911473,2021-01-23 04:38:00,ice breaker mints sugar free,14.0,2,3.6666666666666665
679905,679905,2021-01-23 01:44:00,fresca black cherry  12 oz cans,6.75,4,3.6666666666666665
705101,705101,2021-01-23 01:31:00,hazelnut international delight,15.0,3,3.6666666666666665
898466,898466,2021-01-22 19:57:00,gatorade lemon lime 12oz,8.0,1,3.3333333333333335
743255,743255,2021-01-22 07:30:00,premier protein shake choc 11oz,22.0,5,3.3333333333333335
766027,766027,2021-01-21 05:01:00,nestle purelife 16oz,7.5,2,3.3333333333333335
514559,514559,2021-01-21 11:40:00,clear plastic cups 9oz,15.0,4,3.3333333333333335
149833,149833,2021-01-22 18:52:00,dole fruit in gel cups 43 oz,12.5,2,3.3333333333333335
691103,691103,2021-01-22 16:25:00,diet pepsi  12 oz cans,6.75,3,3.3333333333333335
281352,281352,2021-01-22 16:36:00,peppermints hard candy,12.0,8,3.3333333333333335
724106,724106,2021-01-22 14:40:00,gatorade liberty variety 12 oz,17.5,5,3.3333333333333335
288537,288537,2021-01-23 01:44:00,mountain dew  12 oz cans,16.25,5,3.3333333333333335
217845,217845,2021-01-22 20:24:00,lysol wipes 100 ct,26.0,5,3.3333333333333335
112266,112266,2021-01-21 18:29:00,propel zero variety 20 oz,16.0,3,3.0
805880,805880,2021-01-21 04:51:00,folgers 100% colombian coffee,15.0,5,3.0
145514,145514,2021-01-22 17:22:00,trident original flavor 18/pk,12.0,3,3.0
456659,456659,2021-01-22 23:09:00,reeses peanutbutter cups 2/pk,26.0,3,2.6666666666666665
964207,964207,2021-01-23 04:38:00,splenda sweetener,25.0,1,2.6666666666666665
873871,873871,2021-01-23 04:01:00,"gogurt low fat yogurt, strwbry & berry",12.0,2,2.3333333333333335
428886,428886,2021-01-23 04:01:00,sprite zero  12 pack,6.75,3,2.3333333333333335
656249,656249,2021-01-22 16:51:00,la croix sparkling orange 12 oz,16.0,1,2.3333333333333335
187375,187375,2021-01-23 04:38:00,muscle milk protein shake van 11oz,24.0,1,2.3333333333333335
799774,799774,2021-01-22 17:02:00,equal sweetener,15.0,1,2.0
444416,444416,2021-01-22 03:14:00,honey packets,45.0,3,2.0
493796,493796,2021-01-22 11:35:00,kelloggs fruity snacks,15.0,1,2.0
164441,164441,2021-01-22 17:02:00,lysol disinfectant spray 19 oz,21.0,1,1.6666666666666667
792399,792399,2021-01-22 14:15:00,tejava unsweetened black tea 169oz,29.0,1,1.6666666666666667
